Shoulder_Angle_Left,Shoulder_Angle_Right,Elbow_Angle_Left,Elbow_Angle_Right,Hip_Angle_Left,Hip_Angle_Right,Knee_Angle_Left,Knee_Angle_Right,Label
74.88764,66.85394,167.40027,157.0009,132.67294,143.45036,152.55373,159.00595,pushup
74.81856,66.77103,169.15619,158.9346,135.50966,146.94691,153.97986,160.32634,pushup
74.16647,65.88467,170.02971,159.90096,137.09465,149.55649,153.0554,159.9499,pushup
73.76511,65.86459,172.04712,161.21605,139.86774,152.05127,154.66179,162.33224,pushup
71.0743,62.77462,168.20645,156.49464,142.23062,154.57062,155.91605,163.2531,pushup
69.14506,57.39465,163.63863,150.51828,144.45303,156.74004,156.80458,163.59346,pushup
63.295673,51.160767,151.261,142.67339,148.13914,160.79567,156.69887,163.36177,pushup
58.71216,44.214973,145.2139,135.1151,151.35207,163.8626,154.41891,161.10654,pushup
58.964855,49.762623,144.90729,143.7925,157.25601,168.92105,154.41768,160.73146,pushup
50.92163,43.88654,135.27414,138.59622,164.12027,179.42937,159.01517,171.46152,pushup
42.2177,41.463173,127.06464,134.71446,167.43771,177.12975,160.8207,173.28848,pushup
35.766396,38.67462,120.71045,133.68863,168.07576,175.2291,162.47742,176.92686,pushup
32.726288,48.72636,118.22435,146.96902,171.01355,172.4095,166.53069,178.6449,pushup
30.541117,53.08414,105.13195,132.53433,169.43515,174.48956,166.87947,179.42528,pushup
39.047485,73.4919,100.42067,139.06816,172.09787,173.44424,171.88846,178.99847,pushup
31.179811,115.598366,84.36378,173.23305,174.07916,171.3526,173.78036,177.1948,pushup
17.68219,32.963615,51.834923,24.781975,174.72882,167.93855,175.09222,175.68724,pushup
4.2674184,47.69303,39.28366,8.022183,177.57286,167.83456,175.34552,176.55286,pushup
4.244409,121.73178,38.24303,91.277916,176.49026,168.62634,174.347,176.50877,pushup
7.9674025,165.5406,50.930126,132.18,173.4163,169.80086,173.12167,175.38913,pushup
23.224165,113.61247,76.891594,158.45776,171.57872,173.19852,172.61005,177.36885,pushup
56.365803,127.25471,102.08839,179.13678,165.91927,176.88762,170.12233,176.13116,pushup
34.722042,49.694736,101.74606,124.364006,166.83691,176.67404,168.88487,176.6136,pushup
40.48105,52.88484,114.80508,137.02565,165.54704,177.1797,166.4738,177.99678,pushup
43.85221,33.495052,127.417114,118.302574,156.98328,173.63222,157.07973,170.48987,pushup
45.338757,36.1291,133.08595,124.40514,158.25505,174.63768,155.18892,168.41148,pushup
50.928116,48.18004,137.68799,142.8962,166.27249,178.03625,161.38103,167.81789,pushup
55.146618,51.207382,143.49152,148.09616,163.04268,175.56981,158.8687,165.75119,pushup
60.973537,54.08912,151.0832,151.79922,159.28368,171.94855,156.69164,163.64183,pushup
63.46695,52.53124,158.56479,151.79053,156.68283,169.4533,154.42838,162.33543,pushup
62.3035,47.874992,157.21626,145.78319,153.19629,166.85602,154.41805,161.3936,pushup
61.313477,51.533455,160.37917,150.81126,153.03827,166.77647,154.15454,162.38461,pushup
65.203766,54.374264,166.31615,153.22864,152.6982,166.53293,153.88641,162.24658,pushup
67.06055,58.687973,172.43121,159.93996,152.37729,165.70595,154.36562,162.97984,pushup
70.66143,61.599937,175.27298,162.1528,152.27756,165.41394,154.04242,162.81401,pushup
72.241325,61.971725,176.22076,163.30028,151.75134,165.00195,153.85123,162.56744,pushup
72.94259,62.759415,177.12062,164.05612,151.37852,164.66469,153.28125,162.12834,pushup
73.6673,62.493736,177.5346,164.03224,151.10785,164.4997,153.09839,161.9097,pushup
73.68263,62.618145,178.11777,164.63885,151.12775,164.61542,152.79922,161.7209,pushup
73.43902,62.48866,178.39867,164.7786,151.27748,164.68149,152.78697,161.73582,pushup
73.482124,62.548088,178.52289,164.75955,151.54253,164.85936,153.20815,162.062,pushup
72.99562,61.658123,176.50261,162.69444,151.4511,164.73871,153.45734,162.13713,pushup
68.83467,60.63517,173.17686,161.68988,151.91014,165.2298,153.42474,162.11253,pushup
65.861465,55.213287,167.73647,155.14346,153.22226,166.33331,153.95032,161.53038,pushup
65.16688,52.28743,160.88972,148.87317,153.5208,167.41084,153.86145,162.50552,pushup
62.921223,46.511047,154.85455,140.64401,153.7869,167.10046,152.94582,159.59622,pushup
61.820488,46.572624,148.90869,137.59038,153.60689,167.07208,151.29895,157.62408,pushup
56.459976,49.713406,146.03487,143.31467,162.18475,173.968,157.74742,162.24544,pushup
44.270878,36.7025,131.44246,121.39401,158.3101,173.54799,154.365,165.373,pushup
41.027252,34.752743,124.06236,118.03606,157.69037,173.15115,156.42155,168.82314,pushup
37.68136,50.341034,116.52265,140.7096,166.45244,175.46635,165.25356,179.3682,pushup
33.835663,59.94098,102.9844,132.59622,167.13123,176.33237,166.74263,179.42834,pushup
57.76629,74.47757,99.83235,152.7571,166.906,176.14958,169.56792,176.83553,pushup
37.951145,75.21632,82.54124,141.03947,170.91164,173.19963,172.84494,175.52486,pushup
0.6164379,81.21199,46.85976,40.325558,174.34285,168.73459,173.99481,174.44087,pushup
7.9278836,75.57142,37.995136,45.789448,175.27846,168.55064,174.36444,174.79018,pushup
16.14902,84.54556,33.041706,52.688435,176.84755,169.44235,175.15535,177.04182,pushup
16.368288,37.46452,32.347023,5.925064,177.29759,169.16046,176.0328,176.56578,pushup
10.198154,53.60867,36.707424,13.411887,176.14973,169.00471,175.56084,175.17012,pushup
15.227421,168.71469,55.467445,159.30594,171.658,170.58096,172.46733,173.91559,pushup
54.011856,140.46693,88.807365,164.13963,166.62231,175.00624,169.77357,174.78352,pushup
59.39588,130.06398,100.3162,173.48123,165.03435,177.12082,169.92055,175.94917,pushup
36.724747,47.412746,101.92828,119.528824,167.99364,175.6679,169.08572,176.53189,pushup
41.713013,49.28685,115.18396,130.48663,166.13455,176.75723,166.06033,178.51022,pushup
44.41077,36.69617,126.291176,124.80693,158.06146,173.7804,158.22879,171.18431,pushup
46.365086,34.800873,130.05968,120.03878,158.78445,174.40265,158.44429,170.93211,pushup
46.674557,37.6724,134.21848,125.33021,159.17703,174.8818,156.12224,168.1546,pushup
49.753242,40.258675,139.39716,129.2658,159.51128,174.54471,155.11658,165.97437,pushup
53.273125,51.99964,142.09207,146.9718,165.64394,176.90704,160.70154,165.74658,pushup
59.223057,54.66875,148.84863,148.64284,162.45712,174.15778,157.50243,162.35162,pushup
62.96719,54.81049,152.80995,148.57416,159.70917,171.60854,155.2803,160.78954,pushup
65.31069,50.95497,153.55649,143.2698,152.98288,166.51787,150.6286,157.11688,pushup
