Shoulder_Angle_Left,Shoulder_Angle_Right,Elbow_Angle_Left,Elbow_Angle_Right,Hip_Angle_Left,Hip_Angle_Right,Knee_Angle_Left,Knee_Angle_Right,Label
64.23958,68.39087,150.49162,155.22208,76.65122,74.331566,82.609314,80.09462,situp
64.98397,67.79606,145.01659,153.7787,84.490005,83.85804,83.03546,85.10106,situp
68.8878,72.34354,135.7697,146.60017,93.20507,91.83344,83.732735,86.42354,situp
77.78474,77.6501,133.51552,150.0479,97.30647,97.76906,82.30226,89.78747,situp
82.4785,80.01469,137.04146,141.42896,105.24166,107.88642,82.60384,89.53011,situp
82.61526,79.96046,136.89636,141.34012,105.165596,107.8912,82.59967,89.581345,situp
88.332214,89.34369,136.58563,137.1153,113.98599,113.785095,83.73391,89.70274,situp
94.00732,94.74088,124.14229,136.57683,121.08765,123.58504,87.0835,92.22383,situp
88.93339,101.5889,107.05088,129.71121,138.21683,133.03113,101.66269,95.531975,situp
123.89018,108.75362,127.70039,133.14874,141.0358,141.81209,110.38099,100.98124,situp
136.9749,4.828076,135.21936,37.95284,148.20418,148.69244,112.153824,97.11856,situp
137.4114,1.4972403,135.90147,34.156578,147.72003,148.00038,111.08832,96.21789,situp
147.90958,143.76724,137.17184,151.43681,148.54112,149.5913,110.71718,98.92862,situp
171.96146,169.04362,154.06297,149.66736,149.55301,149.00732,113.37841,102.034874,situp
163.85522,162.05,142.00664,144.49687,150.15805,150.03896,111.76972,102.05994,situp
133.37405,121.731766,112.082954,118.60007,151.95445,154.06444,113.262375,102.608284,situp
90.91249,74.273285,84.83703,85.66108,152.03062,151.93735,106.57392,99.298225,situp
91.24827,74.38223,85.72039,86.078606,152.36174,152.28555,106.982864,99.64744,situp
103.434975,100.2739,116.26449,120.32283,146.86667,145.82515,110.38414,101.62663,situp
69.964745,82.705894,108.26868,125.17919,142.00179,138.28828,102.642136,98.55175,situp
61.409435,61.9643,130.70029,136.11322,133.5879,134.55089,93.51267,94.26339,situp
47.831253,50.66513,142.2278,152.24574,129.46365,129.9711,93.37973,95.07171,situp
47.287262,52.59476,162.0049,171.99562,114.60396,116.69845,78.29051,88.9261,situp
47.084263,52.88401,161.39445,171.20937,114.395645,116.30844,77.954704,88.53979,situp
43.026554,48.904915,159.7261,172.17818,107.61499,112.16281,79.80159,90.7534,situp
42.834213,43.951256,165.9714,167.91162,110.10228,109.7121,94.892075,92.772484,situp
116.10333,53.9637,118.74483,176.86012,95.201996,96.851425,84.383446,90.51899,situp
104.55154,57.10633,104.85025,175.82536,85.52873,88.119026,80.06781,88.782745,situp
89.55253,56.46796,99.130226,176.22986,85.371864,88.14465,84.379814,90.36286,situp
87.19008,56.536148,97.836975,176.13106,85.19964,88.2283,84.21025,90.49707,situp
42.47517,55.026455,161.61679,177.23373,77.06917,82.323105,82.96525,91.28775,situp
48.715626,55.3421,161.12488,171.5342,73.4844,73.91268,89.141884,89.518616,situp
52.429012,55.667297,165.52724,169.42155,72.16785,69.60437,92.24077,89.07066,situp
53.412617,56.045475,165.03583,169.08113,68.41879,64.16087,92.96061,89.34721,situp
53.32665,57.76346,161.16277,167.44524,62.132034,58.02832,90.122894,88.0257,situp
53.232635,57.662033,161.17677,167.41899,62.09651,58.097355,89.8799,87.97199,situp
62.364548,70.98794,165.03511,178.74414,52.789047,48.82922,85.07027,90.12133,situp
65.29843,70.73621,169.76384,177.70338,46.343975,44.891926,79.35729,88.656296,situp
64.83739,69.14348,167.82465,173.53188,46.189697,44.946415,84.52516,90.171135,situp
66.81105,69.42388,171.92308,177.42168,40.172672,40.79167,81.1647,86.08629,situp
68.55601,70.583984,174.52675,178.75038,35.01409,34.434002,78.620125,84.32034,situp
68.536736,70.53238,174.57082,178.78033,35.061527,34.445744,78.61295,84.2795,situp
68.97619,70.0925,173.18597,175.7707,31.072674,27.458021,72.877525,78.59153,situp
66.5133,70.75282,171.31743,174.30989,26.984333,23.405224,74.704475,77.705,situp
71.55031,74.82434,176.15283,175.68274,20.683592,14.554038,70.79189,76.1137,situp
69.74407,76.70887,169.9491,172.21695,20.48433,13.190418,74.89011,74.59252,situp
70.04711,77.31965,169.12425,172.05101,14.444944,9.364938,70.36828,73.03865,situp
70.012054,77.54498,169.07925,172.25087,14.448052,9.408616,70.39831,73.06891,situp
70.85149,78.63953,168.74379,167.12817,14.898421,8.629874,74.45089,76.89762,situp
72.0016,79.79144,168.35492,166.15631,14.380802,8.217713,77.706436,78.66508,situp
69.66614,79.66617,168.3515,164.89818,16.111946,7.2842684,79.917854,77.95331,situp
68.86851,76.74911,168.7873,163.83553,15.039114,6.790036,77.37587,76.09879,situp
72.475655,77.377525,170.07903,164.88034,16.543432,9.11695,80.46691,77.34006,situp
72.64625,77.16605,170.25276,164.47621,16.831623,9.448725,80.69741,77.46735,situp
72.733215,73.14818,174.68661,166.87788,15.497217,8.461485,75.991974,76.90818,situp
71.630196,75.293,174.54942,172.41733,16.190407,10.589573,73.40519,75.40816,situp
70.38298,76.36525,173.75024,177.70697,22.307146,16.598299,69.03783,73.82875,situp
72.177536,76.64667,171.9209,177.29317,25.45972,23.079882,75.06458,75.180145,situp
108.4948715268189,76.11145,0.8485392788614492,176.7999,34.994473,31.435173,79.8961,78.33036,situp
108.43738817321572,76.119225,0.8453633527104636,176.76372,34.964687,31.426413,79.94098,78.35719,situp
116.65572408609758,78.61179,2.8528213066709807,176.22601,38.86532,36.82191,79.190384,81.44413,situp
124.0440659878775,77.280365,4.332472602638291,171.4748,43.21988,43.866383,74.263245,80.442566,situp
