Shoulder_Angle_Left,Shoulder_Angle_Right,Elbow_Angle_Left,Elbow_Angle_Right,Hip_Angle_Left,Hip_Angle_Right,Knee_Angle_Left,Knee_Angle_Right,Label
47.7981,57.942657,44.933792,22.37802,176.37723,178.00923,178.08377,177.04977,squad
47.437405,57.893795,44.076817,21.616606,176.31055,177.96558,178.22733,177.02283,squad
46.88825,57.9002,45.85155,21.087444,176.3728,178.07541,178.05228,176.9208,squad
47.196228,57.922413,44.550106,21.062523,176.31308,178.05106,178.13208,176.92628,squad
47.54302,58.056435,42.88764,20.955015,175.77797,177.82245,178.72527,176.85513,squad
46.539684,59.599483,48.79747,23.508741,177.18004,179.07127,178.14195,176.09033,squad
46.930096,59.900795,48.616634,23.559885,177.58353,179.49991,177.82164,175.77515,squad
48.02271,58.527363,46.167515,20.594349,176.12146,178.58348,178.63168,176.22134,squad
48.103867,59.212513,46.097046,21.062742,176.21896,178.66542,178.44441,176.10292,squad
48.34886,59.529747,45.93338,20.2957,176.64952,179.23586,178.18402,175.5227,squad
48.604145,59.747574,46.709217,20.033604,177.62355,179.65224,177.30347,174.7886,squad
49.34571,60.307205,45.933403,19.878948,178.65141,178.76726,176.62831,174.37383,squad
50.44979,61.29991,45.535255,19.238016,179.96573,177.78096,175.65628,174.2984,squad
51.843056,62.472103,45.129322,19.201124,178.57301,176.49411,174.89384,173.45454,squad
53.60734,63.746925,46.60568,18.473577,176.91534,174.92406,174.19193,172.8928,squad
55.33086,64.84416,45.28856,18.296173,174.547,173.20715,171.88869,171.83694,squad
55.915504,66.142876,50.185024,18.45447,171.21588,170.53561,169.10878,170.43846,squad
56.66235,67.429756,53.316982,18.495165,169.99144,169.09616,168.94487,169.72816,squad
57.46892,68.97735,55.09469,18.717464,166.00443,166.48164,164.6643,168.34346,squad
107.49746432174194,70.07951,0.0,19.556404,162.23715,163.55452,161.08818,166.81813,squad
106.499408925492,71.130486,0.0,18.112722,159.72107,161.18062,158.3109,165.29182,squad
60.290493,72.91272,52.97667,20.012787,156.6713,156.76964,157.2354,161.285,squad
61.80916,71.37202,55.488853,25.085497,152.22548,155.42932,154.80434,159.3244,squad
62.27605,71.8459,57.98619,23.359858,150.19267,152.04126,155.08606,157.09354,squad
62.89263,72.7801,12.613705874758171,22.556658,147.52226,149.33853,152.87167,155.24057,squad
64.289474,72.60826,12.690441563142494,18.218515,144.59193,145.57191,152.04141,152.2092,squad
63.20195,72.93549,14.1924142700748,18.898674,142.24274,142.25862,151.2924,149.74408,squad
65.31409,73.504616,51.40748,17.639956,139.06738,138.03404,148.44327,146.0712,squad
62.696545,77.31468,17.418605169952553,18.866257,135.5041,130.41342,144.9251,140.6796,squad
56.033802,75.607155,22.94030848417286,21.003529,135.47229,130.0122,143.1644,140.37233,squad
96.0330711783334,79.61228,0.0,21.36171,131.83958,125.64393,142.40518,136.8821,squad
95.30710361183716,81.80418,0.0,21.177935,128.80165,121.54392,140.45741,133.18663,squad
95.913884999668,82.7117,0.0,20.765026,127.11533,119.27499,138.74202,130.89153,squad
69.95866,81.6562,11.904379193271224,26.548132,123.31959,118.198845,132.63948,128.20233,squad
94.84462700988982,84.41534,0.0,19.317518,121.71115,115.215355,133.28265,127.25495,squad
92.09985975525149,75.65096,0.0,41.91252,116.68848,110.66399,127.13709,119.88294,squad
91.96376882557864,77.84127,0.0,42.667084,114.72999,107.97585,125.14937,116.86087,squad
92.6676220446531,81.12366,0.0,27.547947,115.03211,107.33821,125.14675,115.66041,squad
92.45425887813666,80.41875,0.0,26.836718,113.04099,104.97145,122.02718,112.80648,squad
92.69579744657416,81.00433,0.0,23.144081,110.18305,102.14481,119.97362,110.860435,squad
93.13015260755944,84.71983,0.0,22.063599,105.86792,99.30303,113.0448,106.759384,squad
93.25609574232416,83.58521,0.0,22.381498,104.433105,98.382034,112.01892,105.95789,squad
93.63463470344364,85.306274,0.0,23.146515,101.775085,96.72258,109.15476,104.720856,squad
93.59222267009028,84.58276,0.0,21.519842,101.17035,95.96217,108.40901,103.84823,squad
93.78165163195143,78.79066,0.0,24.26716,102.29553,97.32466,111.31343,104.5244,squad
93.45858763379783,83.57798,0.0,19.620262,97.8263,91.473915,108.726494,101.60252,squad
93.82812156189722,83.217514,0.0,18.722073,95.76421,89.9763,106.792755,100.60195,squad
93.62013064890168,82.69195,0.0,17.663168,94.71001,88.81007,106.79381,99.601204,squad
93.74500058470956,83.29579,0.0,17.711176,92.52959,86.54311,104.88759,97.42969,squad
93.93772199027376,83.89994,0.0,17.085648,90.880554,85.0356,103.17888,95.73726,squad
93.70934620939552,83.60371,0.0,17.277018,89.2667,83.163994,102.40258,94.01099,squad
94.6057504547091,84.59794,0.0,20.917646,86.025055,82.28022,94.89433,91.66978,squad
94.4815986431801,85.10956,0.0,16.82561,84.17892,79.24688,96.04128,89.63595,squad
57.719547,85.092354,75.35873,15.322815,80.895805,76.69493,92.71279,88.009186,squad
60.260227,84.79544,77.685036,15.411027,79.37636,75.40257,91.66105,86.903175,squad
57.31232,84.35281,79.20685,16.797636,77.09022,73.83049,89.386185,85.98042,squad
61.746117,85.458595,80.895424,17.423431,75.22093,73.36729,87.01089,84.80778,squad
63.473793,85.75919,79.75967,16.141293,71.77266,72.187454,83.533554,83.820045,squad
63.91583,82.90626,67.45778,17.549746,77.04622,74.46787,87.985794,84.226265,squad
61.85484,83.56631,67.48942,18.765825,74.46788,72.8774,84.48152,82.879326,squad
63.584576,84.45315,65.535446,20.053768,71.54926,71.00529,81.42063,80.98459,squad
58.90335,83.92766,67.66641,21.674084,70.14841,69.17426,80.47215,79.9304,squad
49.268105,86.84389,84.25641,24.205683,61.026024,65.34553,70.599174,76.92476,squad
54.173275,87.11489,82.87339,22.613832,59.827755,64.48311,69.21771,76.34272,squad
59.185055,83.80655,67.19803,22.593824,65.28579,65.95636,74.53298,77.73944,squad
60.512733,86.939865,83.07596,22.376045,58.12481,64.64278,65.759285,76.46533,squad
60.592163,86.68507,82.23364,22.702766,57.54693,63.84471,65.384964,75.90042,squad
61.969982,85.85714,83.956795,23.450489,56.69342,62.633335,64.47895,74.09701,squad
60.866756,85.5798,85.40604,23.192501,56.368,62.832855,63.73969,73.94794,squad
60.41647,85.3145,85.203926,23.873198,55.918556,62.03126,63.199978,73.150986,squad
64.14101,86.14699,81.41363,23.675816,55.62762,61.682205,62.265892,72.09097,squad
62.44627,86.05122,81.01814,23.146635,54.948593,60.01055,61.800243,70.83078,squad
63.91156,83.15145,69.848946,21.75485,58.97228,59.12102,66.52137,69.5651,squad
61.66651,82.0594,68.97182,21.428318,58.41069,57.32175,66.32213,67.955,squad
59.625675,81.62018,70.732056,20.686483,57.223747,56.29792,65.46125,67.627045,squad
63.459995,82.54804,67.69434,21.408913,56.34138,55.95389,64.481834,67.072044,squad
65.76425,82.79328,64.86553,20.992598,55.905502,55.68076,63.845646,66.59758,squad
67.36952,83.08265,64.30663,20.288195,54.97384,55.17428,63.373833,66.25567,squad
67.04554,83.23714,64.49794,20.33645,54.930336,54.9149,63.32956,66.04158,squad
67.08523,83.11576,65.93146,20.163336,55.03714,54.504166,63.73007,65.70064,squad
67.29948,82.9285,65.836975,19.741581,55.438293,54.677715,64.35515,65.82227,squad
65.29327,83.39642,69.018326,21.40911,55.346375,55.396145,63.42152,66.283455,squad
67.81267,83.84796,62.784954,21.02804,56.00537,56.453033,64.20343,67.03258,squad
60.769455,82.537346,69.78168,21.590748,57.388878,57.73229,64.526665,68.581764,squad
61.832245,83.67531,71.67757,22.567427,58.60378,60.68394,65.6676,71.67968,squad
64.44439,86.80312,79.355965,21.501102,55.507908,63.86253,61.57172,74.99553,squad
66.83681,87.24065,80.2235,21.497246,59.335327,66.24752,66.26219,77.83836,squad
64.70265,87.657616,76.55697,21.030172,60.809196,66.488106,69.33703,77.04552,squad
61.367886,86.64008,19.596242203929464,19.592194,65.20558,68.75299,74.428055,78.916046,squad
50.465405,85.955894,83.37333,19.94563,68.12431,71.60171,77.24974,82.34271,squad
52.818176,85.0666,77.22094,16.334211,74.43907,74.57511,85.09411,85.460655,squad
54.201294,85.991035,78.547615,16.516582,79.534805,77.282814,90.72865,88.00221,squad
95.50322170666236,85.63885,0.0,23.594013,85.28381,83.04911,93.216576,91.79846,squad
95.20817959619067,84.77145,0.0,20.822704,92.10378,87.10121,103.19717,97.01758,squad
95.76302749453733,86.03145,0.0,21.48011,97.189354,92.70985,104.52756,100.46073,squad
93.84807819351649,85.16269,0.0,23.22026,100.29733,95.47899,107.74786,103.88088,squad
93.28677057518858,85.52055,0.0,24.668285,102.5543,97.65277,110.55287,107.021355,squad
92.47322327378436,86.427315,0.0,23.179827,105.479,99.345535,113.5499,109.85785,squad
91.52594460427382,81.09376,0.0,29.54755,110.68398,104.96333,119.30075,116.05199,squad
91.26044863178193,83.57155,0.0,27.734493,113.26748,107.40787,121.346695,119.383514,squad
68.5806,82.819305,14.528425649103978,22.004984,122.62272,117.37591,134.313,128.13078,squad
63.165756,80.83327,18.9213888845774,21.46188,125.42311,123.51135,136.08218,136.19763,squad
96.54730596445116,77.05019,0.0,23.310617,131.0366,131.06589,141.92047,143.68526,squad
97.42609381793724,75.82011,0.0,24.283194,136.29271,137.38719,146.84294,148.53413,squad
98.61937278219672,74.78056,0.0,24.368769,142.14986,142.73456,151.62761,153.32729,squad
59.313744,75.40792,18.453273958271467,27.092083,146.27527,147.38069,154.83974,157.2156,squad
60.182697,74.9984,75.42704,27.015942,150.37036,152.04683,157.68001,160.84715,squad
62.208225,75.53182,62.513412,25.542946,155.58493,155.66028,162.82011,163.35428,squad
59.002197,75.847626,59.40278,20.135843,157.26865,159.85571,159.52356,168.08492,squad
60.600876,75.05911,59.648846,19.688818,159.71613,164.02809,160.15338,171.16908,squad
60.68104,74.2287,61.131775,18.309158,165.15942,167.39822,165.2382,172.35045,squad
58.632042,73.219696,64.92751,17.944866,168.31778,171.24017,167.84003,173.97643,squad
54.657974,72.04681,67.35267,18.931944,172.00809,173.79013,170.90222,174.48764,squad
58.138977,72.04372,61.074333,20.093004,174.84428,175.84705,173.18907,174.56828,squad
56.587055,71.541824,63.204178,20.391134,176.89473,177.1361,174.49753,175.10767,squad
60.215054,72.06483,56.98745,21.055605,178.26088,178.46684,175.73845,175.41965,squad
59.558372,71.480934,58.15468,21.657526,179.59073,179.41481,176.17851,175.24353,squad
58.71118,70.97821,58.437763,21.71167,179.31071,179.31357,176.76994,176.016,squad
58.802578,70.768295,57.320644,21.171581,178.32005,178.62015,177.4302,176.10286,squad
59.171318,70.31641,54.398438,20.045162,178.12297,178.32309,177.11269,175.71663,squad
57.624615,69.537384,59.21465,20.496817,177.58604,177.59392,177.12695,175.96414,squad
55.93594,68.6041,58.92518,20.266941,176.5692,177.03825,177.30818,175.86255,squad
53.74759,68.46937,61.228912,19.565472,176.60085,177.01756,176.8557,175.90288,squad
54.638725,68.07327,59.649097,19.200905,177.06207,176.63785,176.16905,176.05394,squad
53.04714,67.860466,57.884804,18.472057,176.392,176.4342,176.04373,175.89758,squad
52.27298,66.90912,59.109642,18.15765,176.00261,176.44124,175.73344,175.55405,squad
57.709084,69.56828,48.99253,19.228716,172.70604,175.8557,179.33676,176.03503,squad
55.994686,69.02176,49.81556,18.14591,173.03738,175.89491,179.9802,175.93764,squad
56.515633,68.44595,49.630222,18.847872,172.82733,175.47797,179.21265,175.42221,squad
55.82802,68.486855,48.14912,17.686644,172.91121,175.58571,179.12709,175.39856,squad
55.38986,68.556915,48.973015,17.987701,172.87924,175.692,179.05975,175.13992,squad
56.28035,68.35981,48.280674,17.780231,172.80746,175.66554,179.08463,175.03528,squad
55.436523,68.20582,48.765373,17.650896,172.78413,175.69028,179.00928,174.94669,squad
55.850166,68.1292,47.097084,18.585178,172.56897,175.62367,179.30421,174.75894,squad
55.182034,68.04314,49.51981,18.470882,172.96773,175.6063,178.86615,174.93217,squad
55.234695,67.836464,48.685825,18.40959,172.87032,175.6604,179.05602,174.80061,squad
55.505127,67.88933,47.41241,18.349827,172.91736,176.02127,178.88196,174.47423,squad
55.501686,68.22714,47.925808,18.33598,173.05922,176.02008,178.78549,174.50241,squad
55.5745,68.174446,48.18473,18.21858,173.00742,175.8707,178.8881,174.71587,squad
55.390804,68.016174,49.032204,18.549795,172.9649,175.6891,178.75777,174.93987,squad
55.573013,68.04845,48.887768,18.740171,172.84738,175.66771,178.88635,174.8231,squad
56.041477,68.12598,48.216736,18.647217,172.90375,175.67436,178.84038,174.9546,squad
55.863544,67.93523,47.479404,19.257097,172.5932,175.72633,179.11772,174.86244,squad
55.740032,68.341415,47.896084,19.405523,172.78285,175.88737,179.0252,174.79764,squad
55.279472,68.35421,49.74016,19.402418,173.09229,175.99405,178.57686,174.75266,squad
8.271536,21.486889,168.64828,168.39348,146.76978,179.06769,163.39468,167.81792,squad
6.1623974,25.301071,173.28185,166.58092,150.02005,176.53427,165.14233,168.92967,squad
3.753272,27.55387,177.18839,167.07068,152.96136,173.7797,164.87244,169.34813,squad
0.9383692,28.995094,175.62277,166.59337,154.31326,172.2737,164.19609,168.35654,squad
0.97858804,28.042156,174.26747,168.84111,155.00261,169.83276,162.26747,169.77538,squad
1.2330525,26.980042,176.57451,168.98854,154.97084,170.15054,162.89299,169.68394,squad
2.932581,23.166687,176.13617,172.4846,156.03947,169.25517,163.4404,170.63564,squad
5.3269334,20.036234,171.20784,171.79669,154.07329,170.94437,162.4073,170.42093,squad
7.4623494,16.89583,166.28714,168.55225,151.8557,174.42221,162.2153,166.67715,squad
12.692848,12.739577,165.74252,157.74792,154.14723,170.1164,163.97792,169.79277,squad
16.210505,11.306776,166.29863,151.49123,154.61288,167.29492,163.0201,177.35802,squad
20.751024,6.159534,167.22276,144.55049,153.79192,168.98412,162.7173,176.45253,squad
23.247807,2.4069653,163.53731,133.97862,151.14772,174.64824,166.38242,170.42018,squad
27.176325,0.7689766,165.00769,129.90227,148.18877,176.65138,164.2385,169.92337,squad
28.247677,1.975065,156.87872,111.17312,146.92332,173.56738,161.72319,177.78812,squad
30.781298,4.9553914,154.29617,103.67297,143.48703,175.53331,159.0963,177.63048,squad
35.387558,9.523282,152.78189,97.55282,135.41641,178.4516,150.02968,171.67877,squad
38.749653,11.7988405,147.58434,89.05379,127.88155,173.2773,143.51651,169.86572,squad
42.361843,14.870489,145.38339,87.75155,121.43286,167.55148,138.63885,170.44623,squad
41.09989,19.324993,123.9012,81.637695,108.49264,158.00171,129.22147,165.94087,squad
39.741795,20.827374,87.414795,78.464386,103.39215,158.22707,123.31094,166.305,squad
39.68225,21.922121,67.54796,72.84548,97.02989,158.01234,119.51725,168.77623,squad
37.578037,22.144915,76.56833,70.54185,92.3876,158.28314,113.62548,168.60904,squad
37.866486,21.661385,88.41472,71.70161,87.8231,154.902,112.71179,170.27989,squad
37.025063,23.280508,108.50134,64.666954,73.10232,146.43327,97.56115,158.06949,squad
40.592865,25.037495,118.70785,63.697617,65.66863,145.32286,93.803345,160.73581,squad
44.227016,26.725271,141.50372,60.94249,66.81303,143.1803,92.328064,155.74973,squad
50.755512,34.305466,107.45647,61.05562,55.84859,131.4008,91.173454,156.32751,squad
57.75725,42.267277,92.66446,65.16927,50.76201,122.41749,89.380165,146.54063,squad
46.462856,32.405758,143.50383,68.43066,60.54993,134.84137,92.28249,151.43747,squad
43.990936,32.919395,127.476036,70.73465,63.082237,134.42361,93.070366,151.1424,squad
52.894424,39.69358,165.49693,73.89214,70.49096,135.28467,97.751724,152.14938,squad
49.299187,30.339596,132.62643,81.51853,73.65062,141.3998,103.68637,161.74606,squad
44.516315,27.951223,138.37247,88.442184,76.68379,143.23512,101.91716,158.52689,squad
46.881153,33.524998,169.95372,110.04606,96.90019,152.06291,116.82403,164.31453,squad
44.927704,30.848244,172.09259,116.65323,99.78443,155.53226,117.41869,166.71152,squad
41.314564,23.06648,166.36569,113.99629,95.37579,153.09254,115.57204,165.48978,squad
39.75337,21.69269,170.06367,114.156876,99.57398,152.723,120.7432,165.07469,squad
31.982885,17.588415,162.66302,120.37441,110.254555,160.14691,127.062096,168.08597,squad
27.507055,10.033404,172.09293,123.53117,115.832954,163.46918,132.07904,168.82896,squad
25.29065,4.543165,177.13603,126.637886,124.21183,173.63692,143.67844,176.274,squad
